order_id,customer_id,customer_email,order_status,order_total,item_count,created_at
4049,290346,slindsey@example.net,pending,1272.79,6,2025-12-15 12:34:48
4050,398979,nixonstephanie@example.net,returned,120.22,9,2025-01-31 21:23:29
4051,633280,msmith@example.net,returned,773.82,15,2025-05-26 21:36:44
4052,137834,kimberly24@example.com,delivered,2385.2,22,2025-07-19 07:50:41
4053,419424,ryan87@example.org,confirmed,322.1,22,2024-09-22 05:34:20
4054,569364,hglass@example.org,pending,1386.21,19,2025-08-19 14:46:59
4055,136853,higginsjennifer@example.net,shipped,1221.44,1,2025-07-10 22:36:10
4056,715270,ewilkins@example.com,delivered,299.87,2,2024-12-06 15:02:06
4057,506493,,cancelled,114.34,22,2026-05-26 08:59:12
4058,994089,elizabethvelazquez@example.net,returned,1287.81,11,2025-12-05 22:53:01
4059,250736,mlopez@example.org,confirmed,2243.96,5,2025-09-19 17:15:36
4060,324756,littleheidi@example.org,cancelled,1855.75,1,2025-03-17 00:53:34
4061,274627,batescolin@example.org,confirmed,1672.49,24,2026-01-05 07:57:58
4062,516838,pbird@example.org,returned,2043.08,1,2025-09-19 06:27:28
4063,896592,hansenthomas@example.net,shipped,473.29,4,2024-08-05 18:14:20
4064,882093,cindyingram@example.com,confirmed,235.73,13,2025-08-22 01:27:38
4065,687516,garciaroberto@example.com,cancelled,770.0,1,2025-09-26 12:49:12
4066,585088,,delivered,1473.09,1,2024-12-02 14:32:38
4067,293803,cynthia71@example.org,confirmed,561.55,23,2026-04-11 10:56:09
4068,869382,taylorreed@example.org,cancelled,133.9,20,2025-08-19 18:30:17
4069,762017,rhondaadams@example.net,cancelled,1916.01,12,2025-07-16 02:53:14
4070,244837,ojackson@example.org,confirmed,2331.42,21,2025-08-30 18:56:39
4071,532127,colleenmacdonald@example.net,pending,2083.09,23,2024-10-15 21:26:41
4072,453107,omiller@example.com,returned,196.22,17,2025-09-23 00:23:56
4073,267951,vcooper@example.org,returned,703.71,8,2025-01-20 14:59:04
4074,199320,ihart@example.net,returned,909.19,11,2025-03-15 01:14:34
4075,53867,gbrown@example.com,delivered,2223.8,19,2024-10-27 02:42:36
4076,862937,jack56@example.com,pending,2180.03,16,2025-03-16 01:39:58
4077,351123,rowejennifer@example.net,pending,719.95,20,2024-11-22 00:16:45
4078,788329,briana72@example.net,returned,1643.04,10,2025-01-23 02:42:27
4079,228402,luis89@example.org,delivered,1320.83,20,2026-02-06 11:43:15
4080,814872,johnsonkimberly@example.com,pending,521.81,22,2026-07-13 17:55:56
4081,854628,matthewcampos@example.org,confirmed,420.27,8,2026-06-02 03:21:15
4082,731630,roykevin@example.net,confirmed,1195.83,11,2024-12-08 17:50:19
4083,668296,danielguzman@example.com,delivered,1512.73,16,2025-03-23 18:17:50
4084,591110,abaldwin@example.com,returned,284.53,13,2025-02-26 10:25:43
4085,907000,lsanchez@example.com,pending,885.25,7,2024-11-05 20:08:52
4086,784761,barbarasanchez@example.net,pending,2359.43,24,2026-08-01 22:07:34
4087,743098,tiffanyfisher@example.com,cancelled,338.99,25,2025-03-04 00:47:38
4088,957621,fisherjames@example.net,delivered,2204.95,23,2026-03-15 07:45:28
4089,222853,lewisadam@example.com,shipped,1619.94,17,2025-06-27 12:22:59
4090,831424,lgreen@example.org,cancelled,907.14,16,2024-12-22 22:49:06
4091,836810,drew80@example.org,confirmed,1410.24,12,2025-03-22 21:24:29
4092,786517,steven15@example.org,cancelled,735.36,18,2024-08-14 23:23:08
4093,549884,ryan04@example.com,returned,399.78,22,2024-10-03 19:57:36
4094,170041,reedangel@example.com,shipped,2312.92,5,2024-10-25 15:37:03
4095,695236,brandyhickman@example.com,pending,1618.04,24,2024-09-24 22:28:10
4096,835670,,pending,1462.45,14,2026-04-10 11:32:18
4097,706108,rodriguezcurtis@example.com,pending,2033.44,21,2024-11-19 16:50:39
4098,965153,awells@example.net,delivered,1209.49,7,2026-01-26 16:44:38
4099,185697,znguyen@example.org,shipped,39.7,16,2025-01-14 05:32:00
4100,348133,madelineromero@example.org,cancelled,2207.18,19,2024-10-10 07:01:59
4101,463475,jason24@example.net,shipped,2484.58,24,2025-08-24 01:08:43
4102,238802,tony10@example.net,shipped,2250.73,22,2025-07-26 00:07:59
4103,593626,phyllis66@example.org,confirmed,1223.57,1,2026-05-02 08:35:56
4104,894288,parksandres@example.net,pending,2397.88,22,2026-04-04 16:24:54
4105,30806,jeremyhenry@example.org,delivered,1599.56,18,2025-10-21 10:37:56
4106,615950,chaseramirez@example.com,confirmed,686.95,12,2025-11-24 12:45:04
4107,539205,pamelawiggins@example.com,returned,359.67,11,2025-10-23 22:39:04
4108,757208,douglasalison@example.org,shipped,1738.87,16,2024-08-12 13:45:41
4109,187247,sharonklein@example.net,returned,1846.2,1,2026-04-17 02:51:57
4110,941842,hubbardchristopher@example.net,delivered,27.29,1,2025-01-21 00:51:40
4111,45385,melindareyes@example.com,pending,1257.55,1,2024-09-15 00:42:50
4112,235948,susan46@example.org,pending,1435.7,2,2026-04-05 02:24:20
4113,71633,buckleydeborah@example.net,confirmed,1491.78,15,2025-10-24 01:36:45
4114,375962,timothysmith@example.com,delivered,1541.34,16,2025-08-22 10:26:04
4115,202307,fberry@example.net,returned,800.37,8,2025-09-09 02:16:30
4116,69198,robert27@example.org,shipped,2469.66,14,2025-04-23 03:46:36
4117,102273,carlsonchristina@example.com,shipped,2433.38,15,2025-05-07 19:36:52
4118,166106,jeffreywinters@example.org,pending,1532.3,15,2025-11-15 18:07:24
4119,558057,ruth29@example.org,confirmed,455.19,22,2025-09-20 08:45:52
4120,110409,benderwalter@example.com,shipped,694.0,22,2024-11-15 14:06:16
4121,904587,cholt@example.org,cancelled,1401.88,4,2026-03-16 12:42:30
4122,32989,trogers@example.org,cancelled,2490.28,11,2026-07-31 15:12:19
4123,544047,,delivered,810.35,2,2026-06-26 03:30:00
4124,845104,elizabethclarke@example.com,confirmed,2472.07,7,2026-05-09 00:34:30
4125,774125,mezagwendolyn@example.org,returned,1907.94,13,2025-07-28 07:19:49
4126,73257,melanie60@example.com,returned,1451.82,16,2026-04-06 14:01:53
4127,712530,jcortez@example.net,confirmed,162.89,19,2026-02-15 17:48:07
4128,744070,reynoldsashley@example.com,returned,2418.72,22,2025-02-22 00:13:44
4129,693136,holly08@example.net,confirmed,165.09,15,2025-05-02 09:11:38
4130,304696,lopezhenry@example.net,cancelled,1059.4,24,2025-08-05 04:44:14
4131,388820,sampsonjessica@example.org,delivered,1731.41,9,2025-10-22 17:17:52
4132,961048,brittany82@example.net,delivered,120.96,16,2025-05-31 06:35:17
4133,960973,amandamccarthy@example.org,cancelled,499.9,20,2024-09-18 05:43:08
4134,850336,teresa04@example.org,delivered,845.85,13,2025-08-04 03:44:35
4135,894076,butlerrichard@example.net,pending,1791.1,14,2025-03-14 02:19:02
4136,475506,rlopez@example.com,pending,35.37,8,2026-05-29 15:06:17
4137,172407,fmcintosh@example.net,returned,1913.82,11,2025-02-02 05:11:11
4138,979820,gpena@example.com,shipped,1696.77,8,2025-03-17 09:39:23
4139,128504,rgibson@example.net,delivered,2031.77,12,2025-02-09 23:01:47
4140,422472,oklein@example.net,shipped,459.41,16,2024-09-05 22:43:50
4141,793373,,returned,1579.47,1,2024-12-06 16:27:33
4142,469814,millerthomas@example.net,pending,1551.04,15,2025-11-24 18:06:57
4143,412119,reynoldsjose@example.net,delivered,2079.32,12,2025-10-17 12:19:08
4144,908349,,cancelled,2369.48,17,2025-07-23 17:17:37
4145,818654,bentonaaron@example.com,shipped,1720.87,11,2026-04-16 08:45:43
4146,616504,smithsabrina@example.net,cancelled,11.02,13,2025-07-02 10:27:08
4147,952923,courtney83@example.com,cancelled,905.7,3,2024-09-21 16:00:48
4148,832992,tdrake@example.net,cancelled,395.12,2,2024-08-21 03:10:30
4149,616489,matthewsanders@example.net,returned,1691.42,10,2025-10-05 21:43:27
4150,637098,,cancelled,952.5,16,2026-03-05 21:57:03
4151,796264,sarasingh@example.com,delivered,749.69,22,2026-05-13 20:32:41
4152,455914,margaretnoble@example.net,pending,2415.48,8,2025-06-28 03:27:25
4153,986281,houseandrea@example.com,delivered,970.31,22,2025-08-10 16:53:40
4154,170639,bsmith@example.org,cancelled,163.77,21,2026-05-05 03:21:45
4155,216800,bolson@example.com,shipped,1896.74,14,2024-09-13 12:26:41
4156,165802,gbates@example.com,shipped,1630.18,5,2025-09-25 18:14:36
4157,635218,bradshawlaura@example.com,confirmed,1080.92,12,2025-05-06 12:22:17
4158,42042,zfigueroa@example.com,returned,1427.63,17,2025-05-17 20:11:05
4159,761775,ujenkins@example.org,shipped,914.64,20,2026-04-10 17:46:25
4160,765142,timothy75@example.net,delivered,827.29,20,2025-06-05 14:16:59
